[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\concurrent\futures\__init__.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\concurrent\futures\_base.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\brotli\brotli.py first seen with mtime 1481534721.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\_cffi_backend.cp38-win_amd64.pyd first seen with mtime 1583327567.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\firefox\options.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1586752935.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\asgiref\__init__.py first seen with mtime 1587128508.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\DLLs\_sqlite3.pyd first seen with mtime 1589896260.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\files\base.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\common\service.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\firefox\firefox_binary.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\unittest\result.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\ctypes\_endian.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\xml\dom\domreg.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\DLLs\_ssl.pyd first seen with mtime 1589896262.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\asyncio\base_events.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\__init__.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\encodings\utf_8.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\phantomjs\__init__.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\http\client.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\signal.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\email\mime\nonmultipart.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\quopri.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\util\queue.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\xlwt\ExcelFormulaParser.py first seen with mtime 1503384368.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\http\request.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\sqlparse\utils.py first seen with mtime 1586752935.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\connectionpool.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\ctypes\wintypes.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\functools.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\enums.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\ie\__init__.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\signals.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\template\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\xlwt\Row.py first seen with mtime 1503384368.0
